Name,lat,lon,dist_from_depo
Fota,-3.4388182,29.7032928,21.866758768504035
Kibimba,-3.4331352,29.5960306,33.77739972189127
Rukana,-2.7728703,29.0606591,118.4811422593661
Ruhororo,-2.6325925,29.2190261,116.48941966415511
Rumeza,-3.8315568,29.6284749,53.379555489541794
Manyoni,-3.8447979,29.6235133,54.900169809720616
Butegana,-2.6012601,30.3371164,104.04843437535033
Nyarubanga,-4.2626032,29.9659168,91.99555507195677
Gihongoro,-4.1461429,29.83366,79.16923695818053
Kiyange,-4.2246077,29.9111597,87.510986847938
Gatabo,-4.0861179,30.1099418,75.86140622100277
Mugeni,-4.1173609,30.0544625,77.56429468503877
Muhafu,-3.935896,30.1745958,63.39796655867402
Gitwenge,-3.1942696,30.7074924,93.55181268041274
Rusigabangazi,-3.245519,30.777642,99.71965778053936
Kivubo,-3.8155028,29.8793715,42.32558715576619
Renga,-3.3197327,29.6713344,28.344767359611183
Nyagahara,-3.6971273,30.2573137,49.266115630962055
Ngoro,-3.0376475,29.6813064,50.04888760022264
Nyavyamo,-3.9109039,29.6975384,57.40283929054503
Rorero,-3.5995057,29.7101806,27.97521342797939
Kiziba,-3.0270701,29.4518131,67.07571664701841
Rubirizi,-2.7397535,29.0765348,119.41576518298217
Gatwe,-4.2202668,29.9912983,87.61104467768112
Mugere,-3.2649568,29.702246,28.80083495801328
Mungwa,-3.4501042,29.8880577,2.2833828131142426
Murenge,-4.0839312,29.7956308,72.87428580274126
Kabanga,-4.0362079,30.0824769,69.68237711880892
Gikomero,-3.145705,29.8207926,32.99752209908101
Kibimba,-3.582369,29.6271411,34.509359734591975
Kanyami,-3.4028066,29.6599644,26.885708227616124
Rutyazo,-3.4623255,29.7141191,20.902846765026286
Rubanga,-3.75356,29.6961762,42.03512110605692
Gakwende,-3.9584704,29.871895,58.156631370453844
Gitwe,-3.3274235,29.5083477,45.070339204161684
Murayi,-3.2940725,29.8308882,17.204916614826587
Kirimbi,-3.2854602,29.9220719,16.530830957054953
Muremera,-3.0595859,30.5157067,79.94050914088947
Gasenyi,-3.282745,30.3961674,57.59735466380682
Nyarunazi,-3.2183729,30.372873,57.676106911112754
Rwibaga,-3.4712321,29.5386056,40.37618316345575
Mugara,-4.0481985,29.5252049,79.72860633578864
Munini,-4.0093161,29.7399592,66.1298227629842
Kinazi,-2.7000242,30.4060773,98.68783412527813
Butarugera,-2.6612537,30.377419,100.5222363789512
Buzigo,-2.6316839,30.2185645,95.45275479917758
Rutamo,-2.4230903,30.0078733,112.34807883203588
